# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': '/gscratch/home/vkashyap/phosforus/work/1005/xescalc/output.out', 'outfile': '/gscratch/home/vkashyap/phosforus/work/1005/xescalc/xes.dat', 'datafmt': 'auto', 'width': 0.1, 'nbin': 20, 'npoints': 2000, 'units': 'ev', 'delim': '    ', 'makespec': False, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 42 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.1625539000e+03    3.0000000000e-05
2.1624602000e+03    1.7000000000e-04
2.1614721000e+03    1.0000000000e-05
2.1601919000e+03    2.0000000000e-05
2.1599818000e+03    5.0000000000e-05
2.1594647000e+03    1.0000000000e-05
2.1590338000e+03    0.0000000000e+00
2.1589332000e+03    2.7000000000e-04
2.1583746000e+03    6.0000000000e-05
2.1583439000e+03    2.0000000000e-05
2.1580659000e+03    3.6000000000e-04
2.1576403000e+03    1.0400000000e-03
2.1573186000e+03    6.0000000000e-05
2.1569931000e+03    2.1000000000e-04
2.1565846000e+03    1.1300000000e-03
2.1561088000e+03    6.9000000000e-04
2.1552533000e+03    7.0000000000e-04
2.1550338000e+03    1.5000000000e-04
2.1535491000e+03    1.5400000000e-03
2.1533924000e+03    1.2400000000e-03
2.1514999000e+03    3.5000000000e-04
2.1503615000e+03    3.7000000000e-04
2.1477842000e+03    2.1000000000e-04
2.1421466000e+03    0.0000000000e+00
2.1413934000e+03    9.2000000000e-04
2.1399266000e+03    1.9000000000e-04
2.1397930000e+03    4.2000000000e-04
2.1394483000e+03    1.5000000000e-04
2.1380750000e+03    3.0000000000e-05
2.0225126000e+03    8.7770000000e-02
2.0224865000e+03    8.7710000000e-02
2.0224812000e+03    8.7400000000e-02
1.9772887000e+03    0.0000000000e+00
1.8915341000e+03    0.0000000000e+00
1.8897057000e+03    0.0000000000e+00
1.8886462000e+03    0.0000000000e+00
1.6483168000e+03    0.0000000000e+00
1.6469774000e+03    0.0000000000e+00
1.6461250000e+03    0.0000000000e+00
1.6449688000e+03    0.0000000000e+00
1.6448345000e+03    0.0000000000e+00
1.6448068000e+03    0.0000000000e+00
