# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': '/gscratch/stf/stetef/work/100921/xanes/output.out', 'outfile': '/gscratch/stf/stetef/work/100921/xanes/xanes.dat', 'datafmt': 'auto', 'width': 0.1, 'nbin': 20, 'npoints': 2000, 'units': 'ev', 'delim': '    ', 'makespec': False, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.1003743000e+03    3.0800000000e-03
2.1008287000e+03    5.3300000000e-03
2.1010716000e+03    1.2600000000e-03
2.1013108000e+03    5.0000000000e-05
2.1017200000e+03    3.0100000000e-03
2.1023045000e+03    1.8300000000e-03
2.1028623000e+03    9.0000000000e-05
2.1029625000e+03    1.0500000000e-03
2.1030370000e+03    6.0000000000e-05
2.1031591000e+03    2.6000000000e-04
2.1035151000e+03    7.0000000000e-05
2.1035920000e+03    1.5000000000e-04
2.1038489000e+03    6.0000000000e-05
2.1041169000e+03    1.2000000000e-03
2.1045224000e+03    1.2000000000e-04
2.1045618000e+03    4.8000000000e-04
2.1047358000e+03    8.0000000000e-05
2.1048288000e+03    1.0000000000e-05
2.1050428000e+03    3.0000000000e-05
2.1050474000e+03    8.0000000000e-05
2.1053099000e+03    5.2000000000e-04
2.1054071000e+03    2.7000000000e-04
2.1055780000e+03    7.6000000000e-04
2.1058358000e+03    1.2400000000e-03
2.1058622000e+03    1.8000000000e-04
2.1060332000e+03    5.1000000000e-04
2.1061801000e+03    1.0000000000e-05
2.1065092000e+03    0.0000000000e+00
2.1066642000e+03    0.0000000000e+00
2.1068999000e+03    7.5000000000e-04
2.1070381000e+03    4.1000000000e-04
2.1072413000e+03    1.9900000000e-03
2.1079568000e+03    3.8000000000e-04
2.1083263000e+03    1.1000000000e-04
2.1085205000e+03    2.3000000000e-04
2.1089421000e+03    2.8800000000e-03
2.1091168000e+03    7.0000000000e-05
2.1098119000e+03    2.5000000000e-04
2.1098394000e+03    1.3000000000e-04
2.1099476000e+03    8.0000000000e-05
2.1100362000e+03    1.0000000000e-05
2.1100655000e+03    6.8000000000e-04
2.1104098000e+03    4.0000000000e-05
2.1105544000e+03    2.0000000000e-05
2.1106393000e+03    4.0000000000e-05
2.1107696000e+03    1.4000000000e-04
2.1110465000e+03    2.0000000000e-05
2.1117935000e+03    8.0000000000e-05
2.1118185000e+03    3.0000000000e-05
2.1121840000e+03    2.3000000000e-04
