# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': '/gscratch/stf/stetef/work/101382979/xescalc/output.out', 'outfile': '/gscratch/stf/stetef/work/101382979/xescalc/xes.dat', 'datafmt': 'auto', 'width': 0.1, 'nbin': 20, 'npoints': 2000, 'units': 'ev', 'delim': '    ', 'makespec': False, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 74 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.1612506000e+03    0.0000000000e+00
2.1610676000e+03    1.5000000000e-04
2.1609046000e+03    6.0000000000e-05
2.1607682000e+03    3.0000000000e-05
2.1601561000e+03    4.3000000000e-04
2.1597292000e+03    4.0000000000e-05
2.1594959000e+03    1.6000000000e-04
2.1590247000e+03    4.2000000000e-04
2.1584361000e+03    0.0000000000e+00
2.1581345000e+03    0.0000000000e+00
2.1577447000e+03    5.0000000000e-05
2.1572464000e+03    2.7000000000e-04
2.1570049000e+03    1.4000000000e-04
2.1568895000e+03    1.0000000000e-05
2.1565402000e+03    8.0000000000e-05
2.1564857000e+03    4.3000000000e-04
2.1563182000e+03    2.0000000000e-04
2.1562258000e+03    5.0000000000e-05
2.1560394000e+03    5.4000000000e-04
2.1558514000e+03    2.4000000000e-04
2.1557103000e+03    2.0000000000e-04
2.1556022000e+03    4.1000000000e-04
2.1551995000e+03    1.0000000000e-05
2.1548802000e+03    2.5000000000e-04
2.1547975000e+03    4.0000000000e-05
2.1544492000e+03    5.7000000000e-04
2.1543989000e+03    5.8000000000e-04
2.1539552000e+03    6.2000000000e-04
2.1536679000e+03    0.0000000000e+00
2.1533528000e+03    7.9000000000e-04
2.1532159000e+03    1.6000000000e-04
2.1530759000e+03    7.7000000000e-04
2.1528906000e+03    8.0000000000e-05
2.1525632000e+03    2.7000000000e-04
2.1516692000e+03    1.9000000000e-04
2.1511365000e+03    7.0000000000e-05
2.1509947000e+03    0.0000000000e+00
2.1505091000e+03    5.1000000000e-04
2.1493519000e+03    2.4000000000e-04
2.1492303000e+03    2.1000000000e-04
2.1489632000e+03    2.3000000000e-04
2.1472476000e+03    1.5000000000e-04
2.1471052000e+03    0.0000000000e+00
2.1463592000e+03    3.0000000000e-05
2.1460050000e+03    1.2000000000e-04
2.1459399000e+03    1.4000000000e-04
2.1441272000e+03    9.0000000000e-05
2.1431502000e+03    3.4000000000e-04
2.1420270000e+03    2.1000000000e-04
2.1419565000e+03    2.4000000000e-04
2.1413501000e+03    0.0000000000e+00
2.1402703000e+03    1.0000000000e-05
2.0223277000e+03    8.8220000000e-02
2.0223123000e+03    8.7190000000e-02
2.0222858000e+03    8.7240000000e-02
1.9770828000e+03    0.0000000000e+00
1.8897612000e+03    0.0000000000e+00
1.8897571000e+03    0.0000000000e+00
1.8897265000e+03    0.0000000000e+00
1.8897213000e+03    0.0000000000e+00
1.8896920000e+03    0.0000000000e+00
1.8895273000e+03    0.0000000000e+00
1.8884848000e+03    0.0000000000e+00
1.8881212000e+03    0.0000000000e+00
1.8880925000e+03    0.0000000000e+00
1.8880851000e+03    0.0000000000e+00
1.8879750000e+03    0.0000000000e+00
1.8879349000e+03    0.0000000000e+00
1.8878379000e+03    0.0000000000e+00
1.7767158000e+03    0.0000000000e+00
1.7758661000e+03    0.0000000000e+00
1.7752742000e+03    0.0000000000e+00
1.7752689000e+03    0.0000000000e+00
1.7751877000e+03    0.0000000000e+00
