# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': '/gscratch/stf/vkashyap/nwxpl/work/112018/xanes/output.out', 'outfile': '/gscratch/stf/vkashyap/nwxpl/work/112018/xanes/xanes.dat', 'datafmt': 'auto', 'width': 0.1, 'nbin': 20, 'npoints': 2000, 'units': 'ev', 'delim': '    ', 'makespec': False, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.1006849000e+03    2.8800000000e-03
2.1008849000e+03    7.7000000000e-04
2.1013647000e+03    3.1200000000e-03
2.1018994000e+03    4.9000000000e-04
2.1022441000e+03    1.0200000000e-03
2.1028092000e+03    6.8000000000e-04
2.1030716000e+03    3.2200000000e-03
2.1033849000e+03    5.1000000000e-04
2.1035439000e+03    3.8000000000e-04
2.1037563000e+03    3.8000000000e-04
2.1039265000e+03    1.1000000000e-04
2.1040257000e+03    1.9000000000e-04
2.1042377000e+03    1.3300000000e-03
2.1044321000e+03    3.8000000000e-04
2.1045737000e+03    3.2000000000e-04
2.1047314000e+03    1.6000000000e-04
2.1052063000e+03    3.8000000000e-04
2.1055370000e+03    1.9000000000e-04
2.1059117000e+03    2.1200000000e-03
2.1059984000e+03    1.9700000000e-03
2.1070268000e+03    1.1400000000e-03
2.1074765000e+03    1.4900000000e-03
2.1078668000e+03    7.6000000000e-04
2.1081958000e+03    1.7000000000e-04
2.1087160000e+03    5.8000000000e-04
2.1091916000e+03    3.0000000000e-05
2.1097812000e+03    4.0000000000e-05
2.1099006000e+03    2.5000000000e-04
2.1100681000e+03    1.0000000000e-05
2.1104242000e+03    6.0000000000e-04
2.1105380000e+03    2.1000000000e-04
2.1112907000e+03    6.9000000000e-04
2.1118141000e+03    1.3000000000e-04
2.1127636000e+03    3.2000000000e-04
2.1130425000e+03    2.8000000000e-04
2.1131669000e+03    8.0000000000e-05
2.1136968000e+03    4.6000000000e-04
2.1140805000e+03    1.7000000000e-04
2.1147050000e+03    1.7300000000e-03
2.1153717000e+03    9.8000000000e-04
2.1155902000e+03    2.7000000000e-04
2.1157349000e+03    4.4000000000e-04
2.1160597000e+03    2.1000000000e-04
2.1161515000e+03    5.8000000000e-04
2.1165201000e+03    1.3500000000e-03
2.1167267000e+03    1.3000000000e-04
2.1168786000e+03    8.2000000000e-04
2.1170465000e+03    7.0000000000e-05
2.1171544000e+03    3.2000000000e-04
2.1174184000e+03    8.3000000000e-04
