# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 68 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.1579293000e+03    2.8915181000e-03
2.1568688000e+03    1.7164700000e-05
2.1568611000e+03    2.2370100000e-05
2.1567004000e+03    3.3347000000e-06
2.1566896000e+03    5.3261500000e-05
2.1566461000e+03    7.2220500000e-05
2.1563171000e+03    1.5871378000e-03
2.1550666000e+03    1.9810148000e-03
2.1550458000e+03    1.9656947000e-03
2.1543580000e+03    7.7878300000e-05
2.1543346000e+03    7.3713600000e-05
2.1543278000e+03    7.0875300000e-05
2.1537657000e+03    2.6789000000e-06
2.1535983000e+03    4.4528000000e-06
2.1535770000e+03    6.8325000000e-06
2.1535200000e+03    3.6227200000e-05
2.1526224000e+03    7.4059500000e-04
2.1525916000e+03    7.6367820000e-04
2.1522163000e+03    1.6263400000e-05
2.1522017000e+03    1.5354400000e-05
2.1521740000e+03    9.5926000000e-06
2.1516236000e+03    1.0523000000e-06
2.1514368000e+03    2.1030100000e-05
2.1514303000e+03    2.8534900000e-05
2.1512205000e+03    1.3179150000e-04
2.1512091000e+03    2.0841430000e-04
2.1511896000e+03    1.8064750000e-04
2.1501220000e+03    4.4082000000e-06
2.1495085000e+03    1.6732370000e-04
2.1495019000e+03    1.6537420000e-04
2.1483449000e+03    1.8929900000e-05
2.1472827000e+03    7.4781500000e-05
2.1472820000e+03    8.4673800000e-05
2.1470080000e+03    7.4526900000e-05
2.1470063000e+03    6.3931100000e-05
2.1469742000e+03    4.5657400000e-05
2.1458209000e+03    8.9938000000e-05
2.1431433000e+03    6.0895500000e-05
2.1431395000e+03    5.2039700000e-05
2.1430161000e+03    1.4009600000e-05
2.1429992000e+03    1.6556200000e-05
2.1429900000e+03    1.2496300000e-05
2.1423799000e+03    6.0181000000e-05
2.1400078000e+03    1.3781000000e-05
2.1399898000e+03    1.3663700000e-05
2.1398185000e+03    1.3258400000e-05
2.0218113000e+03    8.6737163000e-02
2.0217466000e+03    8.7158677300e-02
2.0217461000e+03    8.7157251000e-02
1.9764236000e+03    2.1842000000e-06
1.8856584000e+03    2.0000000000e-10
1.8856316000e+03    3.0000000000e-10
1.8856242000e+03    2.0000000000e-10
1.8856195000e+03    2.1000000000e-09
1.8855985000e+03    1.0000000000e-10
1.8855981000e+03    1.9000000000e-09
1.8855935000e+03    2.2000000000e-09
1.8855794000e+03    1.8000000000e-09
1.8855738000e+03    2.0000000000e-10
1.8855669000e+03    2.0000000000e-10
1.8855493000e+03    2.1000000000e-09
1.8855458000e+03    2.1000000000e-09
1.8855153000e+03    5.0000000000e-10
1.8854819000e+03    5.0000000000e-10
1.8854776000e+03    5.0000000000e-10
1.8851344000e+03    3.7100000000e-08
1.8851195000e+03    3.6900000000e-08
1.8851153000e+03    3.8000000000e-08
