# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.0981682000e+03    5.0783570000e-04
2.0981832000e+03    5.0458200000e-04
2.0983725000e+03    1.0114297000e-03
2.0990358000e+03    2.0864700000e-05
2.0992355000e+03    1.2081000000e-06
2.0992482000e+03    1.3021000000e-06
2.1004070000e+03    1.4645629000e-03
2.1007562000e+03    3.5833570000e-04
2.1013642000e+03    1.9637951000e-03
2.1013713000e+03    1.8676186000e-03
2.1018922000e+03    1.8792946000e-03
2.1019048000e+03    1.0781193000e-03
2.1019120000e+03    1.1617353000e-03
2.1022706000e+03    2.9008530000e-04
2.1023918000e+03    1.6083500000e-05
2.1023998000e+03    1.8686700000e-05
2.1026735000e+03    1.6274490000e-04
2.1028571000e+03    4.1480500000e-05
2.1028616000e+03    4.5450900000e-05
2.1032064000e+03    2.9568590000e-04
2.1032150000e+03    2.7769920000e-04
2.1033404000e+03    2.0756000000e-06
2.1035258000e+03    2.3990000000e-06
2.1037649000e+03    1.0227394000e-03
2.1037786000e+03    9.6840680000e-04
2.1039407000e+03    1.4241010000e-04
2.1040206000e+03    4.0029220000e-04
2.1040351000e+03    5.3790770000e-04
2.1046998000e+03    1.0831411000e-03
2.1047244000e+03    1.0942226000e-03
2.1052046000e+03    8.1405300000e-05
2.1059839000e+03    1.1458120000e-04
2.1063630000e+03    6.8631860000e-04
2.1064135000e+03    6.9838520000e-04
2.1069451000e+03    3.8683070000e-04
2.1069499000e+03    3.7216520000e-04
2.1070277000e+03    3.6879890000e-04
2.1071933000e+03    1.7053500000e-05
2.1072062000e+03    2.0527500000e-05
2.1074992000e+03    2.8557000000e-06
2.1075631000e+03    4.6077000000e-06
2.1076391000e+03    9.1810800000e-05
2.1076439000e+03    8.6061900000e-05
2.1083649000e+03    2.3314460000e-04
2.1083807000e+03    2.2493360000e-04
2.1087057000e+03    9.3057400000e-05
2.1087087000e+03    8.9677900000e-05
2.1088058000e+03    1.0627300000e-05
2.1092967000e+03    1.0794772000e-03
2.1102569000e+03    4.1653940000e-04
