# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': '/gscratch/home/vkashyap/phosforus/work/572/xanes/output.out', 'outfile': '/gscratch/home/vkashyap/phosforus/work/572/xanes/xanes.dat', 'datafmt': 'auto', 'width': 0.1, 'nbin': 20, 'npoints': 2000, 'units': 'ev', 'delim': '    ', 'makespec': False, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.1009279000e+03    8.8000000000e-04
2.1012902000e+03    2.0600000000e-03
2.1014086000e+03    2.1500000000e-03
2.1015817000e+03    1.6100000000e-03
2.1019536000e+03    2.3000000000e-04
2.1026704000e+03    1.3300000000e-03
2.1028742000e+03    3.4000000000e-03
2.1030460000e+03    1.2800000000e-03
2.1031163000e+03    9.6000000000e-04
2.1034030000e+03    7.6000000000e-04
2.1036571000e+03    3.3000000000e-04
2.1037847000e+03    2.5000000000e-04
2.1041803000e+03    4.3000000000e-04
2.1044597000e+03    1.5000000000e-04
2.1046961000e+03    3.4000000000e-04
2.1050499000e+03    1.2000000000e-04
2.1056165000e+03    1.1100000000e-03
2.1057414000e+03    1.5100000000e-03
2.1060590000e+03    1.4500000000e-03
2.1064513000e+03    1.8700000000e-03
2.1065548000e+03    1.6200000000e-03
2.1074699000e+03    6.0000000000e-05
2.1075799000e+03    1.7000000000e-04
2.1083430000e+03    1.2000000000e-04
2.1085374000e+03    4.0000000000e-05
2.1089428000e+03    1.8000000000e-04
2.1093711000e+03    2.6000000000e-04
2.1098343000e+03    3.6000000000e-04
2.1100335000e+03    7.9000000000e-04
2.1104289000e+03    3.3000000000e-04
2.1109374000e+03    6.0000000000e-04
2.1110286000e+03    4.0000000000e-04
2.1121769000e+03    1.5000000000e-04
2.1122365000e+03    2.0000000000e-05
2.1127010000e+03    3.2000000000e-04
2.1133517000e+03    4.6000000000e-04
2.1135821000e+03    1.2400000000e-03
2.1138036000e+03    8.7000000000e-04
2.1141275000e+03    9.2000000000e-04
2.1147965000e+03    1.1000000000e-04
2.1150262000e+03    6.0000000000e-05
2.1155625000e+03    5.5000000000e-04
2.1159287000e+03    2.9000000000e-04
2.1162996000e+03    3.3000000000e-04
2.1164021000e+03    7.0000000000e-05
2.1168431000e+03    5.2000000000e-04
2.1170932000e+03    8.5000000000e-04
2.1173323000e+03    2.0000000000e-04
2.1175091000e+03    3.8000000000e-04
2.1175912000e+03    2.2900000000e-03
