# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': '/gscratch/stf/vkashyap/nwxpl/work/88101824/xescalc/output.out', 'outfile': '/gscratch/stf/vkashyap/nwxpl/work/88101824/xescalc/xes.dat', 'datafmt': 'auto', 'width': 0.1, 'nbin': 20, 'npoints': 2000, 'units': 'ev', 'delim': '    ', 'makespec': False, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 39 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.1589290000e+03    4.7000000000e-04
2.1582421000e+03    0.0000000000e+00
2.1568913000e+03    2.5000000000e-03
2.1565468000e+03    2.0200000000e-03
2.1558981000e+03    1.0000000000e-05
2.1556025000e+03    5.0000000000e-05
2.1547977000e+03    2.1000000000e-04
2.1546818000e+03    6.0000000000e-05
2.1539627000e+03    1.2100000000e-03
2.1537386000e+03    1.9500000000e-03
2.1537037000e+03    4.9000000000e-04
2.1532503000e+03    5.9000000000e-04
2.1531049000e+03    5.3000000000e-04
2.1525682000e+03    8.9000000000e-04
2.1519004000e+03    2.1000000000e-04
2.1517422000e+03    4.5000000000e-04
2.1506579000e+03    7.0000000000e-05
2.1494753000e+03    2.0000000000e-05
2.1485551000e+03    3.0000000000e-05
2.1480608000e+03    4.0000000000e-05
2.1469511000e+03    2.2000000000e-04
2.1451900000e+03    8.0000000000e-05
2.1444798000e+03    0.0000000000e+00
2.1436210000e+03    6.0000000000e-05
2.1420916000e+03    5.0000000000e-05
2.1411778000e+03    0.0000000000e+00
2.0217224000e+03    8.6900000000e-02
2.0216652000e+03    8.6950000000e-02
2.0216517000e+03    8.6610000000e-02
1.9763198000e+03    0.0000000000e+00
1.8871889000e+03    0.0000000000e+00
1.8871862000e+03    0.0000000000e+00
1.8870742000e+03    0.0000000000e+00
1.8870711000e+03    0.0000000000e+00
1.8870184000e+03    0.0000000000e+00
1.8867252000e+03    0.0000000000e+00
1.8866262000e+03    0.0000000000e+00
1.8861522000e+03    0.0000000000e+00
1.8850083000e+03    0.0000000000e+00
