# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': None, 'outfile': None, 'datafmt': 'auto', 'width': 0.1, 'nbin': 20, 'npoints': 2000, 'units': 'ev', 'delim': '    ', 'makespec': False, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.0979330000e+03    5.2200000000e-03
2.0992406000e+03    4.2100000000e-03
2.1008730000e+03    1.9000000000e-04
2.1013882000e+03    2.8000000000e-04
2.1015946000e+03    2.0000000000e-04
2.1016580000e+03    6.0000000000e-04
2.1018956000e+03    1.0000000000e-05
2.1020554000e+03    3.0000000000e-05
2.1025811000e+03    6.0000000000e-05
2.1026774000e+03    4.4000000000e-04
2.1027862000e+03    5.5000000000e-04
2.1030911000e+03    1.8400000000e-03
2.1032561000e+03    1.2100000000e-03
2.1033770000e+03    4.0000000000e-04
2.1034664000e+03    6.0000000000e-04
2.1035539000e+03    2.0000000000e-04
2.1038524000e+03    1.2800000000e-03
2.1038911000e+03    5.8000000000e-04
2.1043501000e+03    5.1000000000e-04
2.1045373000e+03    8.7000000000e-04
2.1047988000e+03    1.3300000000e-03
2.1049934000e+03    4.4000000000e-04
2.1051581000e+03    1.4500000000e-03
2.1054354000e+03    2.2000000000e-04
2.1059180000e+03    6.1000000000e-04
2.1061216000e+03    2.3000000000e-04
2.1062856000e+03    2.1000000000e-04
2.1063987000e+03    2.7000000000e-04
2.1066309000e+03    2.4000000000e-04
2.1071076000e+03    3.5000000000e-04
2.1073798000e+03    2.4000000000e-04
2.1076468000e+03    1.1000000000e-04
2.1083927000e+03    1.5000000000e-04
2.1088219000e+03    2.0000000000e-04
2.1089193000e+03    2.6000000000e-04
2.1094048000e+03    1.1000000000e-04
2.1095667000e+03    4.5000000000e-04
2.1096570000e+03    6.0000000000e-05
2.1097985000e+03    7.0000000000e-05
2.1109583000e+03    2.9000000000e-04
2.1115174000e+03    6.2000000000e-04
2.1117250000e+03    1.7000000000e-04
2.1121490000e+03    7.3000000000e-04
2.1123175000e+03    1.0000000000e-04
2.1124762000e+03    7.6000000000e-04
2.1127801000e+03    3.7000000000e-04
2.1129773000e+03    7.0000000000e-04
2.1135726000e+03    6.2000000000e-04
2.1138147000e+03    1.1000000000e-04
2.1139892000e+03    3.3000000000e-04
